MaGD,MaKH,NgayGD,GioGD,LoaiGD,SoTien,ChiNhanh,KenhGD,TrangThai,GhiChu
GD000440,KH0200,2024-04-09,10:00,Rút tiền,2428692,Nghệ An,POS,Thành công,Thanh toán tiền điện
GD000153,KH0129,2024-01-03,17:43,Rút tiền,42790942,Đà Nẵng,Mobile App,Thành công,
GD000994,KH0157,2024-03-12,15:48,Nạp tiền,42860906,Hải Phòng,Mobile App,Thành công,
GD000221,KH0060,2024-06-30,09:01,Thanh toán hóa đơn,55704947,Thanh Hóa,Quầy giao dịch,Thành công,
GD000641,KH0079,2024-01-26,14:20,Mua ngoại tệ,102779279,Hải Phòng,Quầy giao dịch,Thành công,Chuyển tiền cho người thân
GD000972,KH0145,2024-02-09,10:11,Nạp tiền,165924973,Bình Dương,ATM,Thành công,
GD000043,KH0107,2024-05-22,12:13,Nạp tiền,99660356,Hà Nội,Internet Banking,Thành công,Lương tháng 5
GD000010,KH0087,2024-02-17,16:17,Chuyển khoản,161769824,Đà Nẵng,Internet Banking,Thành công,Trả nợ vay
GD000056,KH0036,2024-03-09,09:10,Thanh toán hóa đơn,20698421,Bình Dương,ATM,Thành công,
GD000090,KH0116,2024-05-22,15:06,Rút tiền,59720017,Đà Nẵng,Internet Banking,Thành công,Trả nợ vay
GD000003,KH0052,2024-06-03,15:55,Nạp tiền,138538371,Hà Nội,Quầy giao dịch,Thành công,
GD000907,KH0170,2024-03-06,17:36,Mua ngoại tệ,138158019,Đà Nẵng,POS,Thành công,Trả nợ vay
GD000333,KH0011,2024-05-09,11:58,Nạp tiền,118569060,Nghệ An,Mobile App,Thành công,
GD000432,KH0100,2024-02-03,08:08,Rút tiền,-2083947,TP. Hồ Chí Minh,POS,Thành công,
GD000894,KH0149,2024-03-05,14:24,Nạp tiền,149502076,Thanh Hóa,Internet Banking,Thành công,
GD000636,KH0154,2024-04-02,15:53,Thanh toán hóa đơn,75266571,Cần Thơ,Quầy giao dịch,Thành công,Trả nợ vay
GD000642,KH0029,2024-02-18,16:18,Mua ngoại tệ,186783391,Hà Nội,POS,Thành công,
GD000585,KH0185,2024-06-16,14:07,Rút tiền,165293893,Nghệ An,Internet Banking,Thành công,
GD000689,KH0083,2024-06-10,17:39,Rút tiền,151259160,Khánh Hòa,Internet Banking,Thành công,
GD000320,KH0103,23/01/2024,14:49,Thanh toán hóa đơn,175624049,Đà Nẵng,ATM,Thành công,
GD000351,KH0159,2024-03-15,08:59,Thanh toán hóa đơn,182585519,Đồng Nai,Mobile App,Đang xử lý,
GD000874,KH0120,2024-02-01,12:37,Rút tiền,18288766,Thanh Hóa,Quầy giao dịch,Thành công,
GD000018,KH0008,21/01/2024,17:16,Rút tiền,171577893,TP. Hồ Chí Minh,Quầy giao dịch,Thành công,
GD000397,KH0067,2024-06-03,12:15,Mua ngoại tệ,43382842,TP. Hồ Chí Minh,ATM,Thành công,Trả nợ vay
GD000684,KH0077,2024-05-05,11:14,Mua ngoại tệ,110036702,Khánh Hòa,ATM,Thành công,
GD000455,KH0129,11/02/2024,15:35,Nạp tiền,190465447,Hải Phòng,Internet Banking,Thành công,
GD000522,KH0073,2024-01-12,11:18,Rút tiền,32900153,Hà Nội,Mobile App,Thành công,
GD000526,KH0068,2024-05-31,17:27,Thanh toán hóa đơn,15382655,Hà Nội,Quầy giao dịch,Thành công,
GD000952,KH0101,2024-04-27,08:24,Rút tiền,22628823,Thanh Hóa,Quầy giao dịch,Thành công,
GD000631,KH0139,2024-02-28,10:23,Rút tiền,170321997,Thanh Hóa,Mobile App,Thành công,Trả nợ vay
GD000337,KH0115,2024-06-13,17:41,Thanh toán hóa đơn,174199382,Đồng Nai,,Thành công,Lương tháng 6
GD000868,KH0104,2024-05-07,15:23,Thanh toán hóa đơn,17466733,Bình Dương,Quầy giao dịch,Thành công,
GD000965,KH0095,2024-03-24,08:02,Chuyển khoản,183235304,Đà Nẵng,Mobile App,Thành công,Mua sắm online
GD000713,KH0007,07/04/2024,09:30,Nạp tiền,194472064,Hà Nội,Mobile App,Thành công,
GD000431,KH0035,2024-04-11,08:10,Rút tiền,71400042,Hà Nội,Mobile App,Thành công,
GD000964,KH0148,2024-04-20,11:12,Thanh toán hóa đơn,1098412084,TP. Hồ Chí Minh,Quầy giao dịch,Thành công,
GD000343,KH0075,2024-01-11,12:23,Nạp tiền,-1298475,Đà Nẵng,Quầy giao dịch,Thành công,Mua sắm online
GD000111,KH0071,2024-04-04,09:43,Chuyển khoản,119799978,Đà Nẵng,POS,Thành công,
GD000121,KH0176,2024-02-04,13:48,Rút tiền,108334621,,Mobile App,Thành công,
GD000170,KH0049,2024-05-07,11:55,Nạp tiền,67077107,Thanh Hóa,Internet Banking,Thành công,
GD000005,KH0036,2024-06-29,09:01,Nạp tiền,195265601,Thanh Hóa,Quầy giao dịch,Thành công,
GD000676,KH0043,2024-01-14,12:28,Thanh toán hóa đơn,176329788,Khánh Hòa,Internet Banking,Thành công,Trả nợ vay
GD000683,KH0016,2024-06-07,15:00,Chuyển khoản,97083990,Thanh Hóa,Quầy giao dịch,Thành công,
GD000095,KH0046,2024-03-01,13:58,Mua ngoại tệ,152427753,Thanh Hóa,ATM,Đang xử lý,Lương tháng 3
GD000533,KH0167,2024-01-21,11:36,Mua ngoại tệ,197068538,Đồng Nai,POS,Thành công,
GD000218,KH0023,2024-01-13,10:43,Nạp tiền,159760770,Thanh Hóa,ATM,Đang xử lý,
GD000437,KH0167,2024-03-11,09:08,Mua ngoại tệ,175702124,Hải Phòng,Internet Banking,Thành công,
GD000071,KH0183,2024-03-23,14:31,Rút tiền,111242701,Đồng Nai,Internet Banking,Thành công,
GD000245,KH0111,2024-06-05,13:17,Nạp tiền,156863775,Đồng Nai,Mobile App,Thành công,
GD000835,KH0127,2024-01-10,16:00,Thanh toán hóa đơn,63798489,Bình Dương,Internet Banking,Thành công,
GD000365,KH0086,2024-06-06,09:29,Chuyển khoản,171517725,Hải Phòng,Mobile App,Thành công,
GD000903,KH0008,2024-02-19,14:43,Rút tiền,94976881,TP. Hồ Chí Minh,Internet Banking,Thành công,
GD000002,KH0061,2024-04-23,15:14,Mua ngoại tệ,125950416,Hải Phòng,ATM,Thành công,
GD000574,KH0154,2024-03-27,08:59,Rút tiền,136136242,,POS,Thành công,
GD000073,KH0088,2024-06-23,15:01,Chuyển khoản,122595655,TP. Hồ Chí Minh,Mobile App,Thành công,Mua sắm online
GD000644,KH0063,2024-02-27,10:00,Nạp tiền,-4153990,Khánh Hòa,POS,Thành công,
GD000020,KH0069,2024-04-25,12:24,Mua ngoại tệ,42919051,Bình Dương,Mobile App,Thành công,
GD000870,KH0109,12/05/2024,09:51,Nạp tiền,8232462,Hà Nội,ATM,Thành công,Thanh toán tiền điện
GD000085,KH0003,2024-04-04,12:47,Mua ngoại tệ,132485497,Hải Phòng,Mobile App,Đang xử lý,
GD000576,KH0078,2024-03-19,11:27,Chuyển khoản,149125154,BÌNH DƯƠNG,Internet Banking,Thành công,
GD000733,KH0104,2024-02-23,12:15,Nạp tiền,126137629,TP. Hồ Chí Minh,Internet Banking,Thành công,
GD000481,KH0132,2024-04-12,11:43,Nạp tiền,157777006,Cần Thơ,ATM,Thành công,
GD000503,KH0052,2024-03-05,12:19,Chuyển khoản,123840186,Nghệ An,ATM,Thành công,
GD000925,KH0130,2024-05-26,13:44,Nạp tiền,152383625,Nghệ An,POS,Thành công,
GD000141,KH0153,2024-01-14,12:31,Mua ngoại tệ,190016822,Bình Dương,POS,Thành công,Thanh toán tiền điện
GD000391,KH0107,2024-06-14,11:54,Nạp tiền,14565372,Hải Phòng,Mobile App,Thành công,Trả nợ vay
GD000880,KH0140,2024-04-12,10:10,Chuyển khoản,95626675,Nghệ An,POS,Thành công,
GD000023,KH0087,2024-05-22,11:38,Mua ngoại tệ,10495888,Đà Nẵng,POS,Thành công,
GD000904,KH0163,19/02/2024,11:20,Mua ngoại tệ,167588340,Hải Phòng,,Thành công,
GD000308,KH0189,2024-03-24,08:41,Rút tiền,36581978,TP. Hồ Chí Minh,Quầy giao dịch,Thành công,
GD000068,KH0191,2024-05-06,09:17,Mua ngoại tệ,11219739,Khánh Hòa,Internet Banking,Thành công,Mua sắm online
GD000435,KH0016,2024-05-10,09:17,Nạp tiền,112275938,Hải Phòng,,Thành công,
GD000501,KH0152,2024-02-01,14:22,Chuyển khoản,76088512,Nghệ An,Mobile App,Thành công,
GD000152,KH0149,2024-04-13,08:35,Nạp tiền,126779438,Đà Nẵng,POS,Thành công,
GD000598,KH0116,2024-06-28,08:48,Rút tiền,59380016,Bình Dương,Quầy giao dịch,Thành công,
GD000119,KH0148,2024-02-10,09:08,Mua ngoại tệ,115215641,Khánh Hòa,Mobile App,Thành công,
GD000958,KH0112,2024-04-04,12:25,Thanh toán hóa đơn,135016596,Đồng Nai,Mobile App,Thành công,Chuyển tiền cho người thân
GD000063,KH0166,2024-01-28,11:33,Rút tiền,114502659,Khánh Hòa,Mobile App,Thành công,
GD000191,KH0197,2024-05-21,14:41,Nạp tiền,17949234,TP. Hồ Chí Minh,Internet Banking,Thành công,
GD000219,KH0083,2024-04-04,14:53,Mua ngoại tệ,32805361,Cần Thơ,Mobile App,Thành công,
GD000356,KH0181,2024-06-04,14:07,Nạp tiền,148168708,Hải Phòng,POS,Thành công,
GD000830,KH0041,2024-01-23,13:00,Nạp tiền,28209125,Cần Thơ,Internet Banking,Thành công,Lương tháng 1
GD000463,KH0103,2024-04-14,10:28,Nạp tiền,84243548,Bình Dương,ATM,Thành công,
GD000016,KH0089,2024-02-02,17:11,Rút tiền,14924773,Hà Nội,Mobile App,Thành công,
GD000728,KH0100,2024-03-21,13:48,Chuyển khoản,28896510,Nghệ An,Internet Banking,Thành công,
GD000377,KH0098,2024-02-22,14:12,Thanh toán hóa đơn,121258090,Cần Thơ,POS,Thành công,Trả nợ vay
GD000858,KH0132,2024-04-01,14:59,Chuyển khoản,10904936,HẢI PHÒNG,Mobile App,Thành công,
GD000242,KH0066,2024-01-04,17:47,Rút tiền,47133408,Cần Thơ,Mobile App,Thành công,Thanh toán tiền điện
GD000272,KH0013,2024-02-07,10:39,Rút tiền,47122665,Đà Nẵng,Quầy giao dịch,Thành công,
GD000424,KH0064,2024-06-22,10:28,Nạp tiền,74090664,Đồng Nai,Mobile App,Thành công,
GD000801,KH0085,2024-02-04,08:43,Nạp tiền,15491326,Cần Thơ,Mobile App,Thành công,
GD000467,KH0077,2024-04-25,12:11,Chuyển khoản,91860065,Cần Thơ,ATM,Thành công,
GD000246,KH0047,2024-03-21,09:00,Thanh toán hóa đơn,119756698,Bình Dương,,Thành công,
GD000986,KH0116,2024-03-13,14:16,Chuyển khoản,176514814,Nghệ An,POS,Thành công,
GD000027,KH0088,2024-05-19,12:39,Thanh toán hóa đơn,149860244,Cần Thơ,Quầy giao dịch,Thành công,
GD000695,KH0092,2024-03-27,09:31,Thanh toán hóa đơn,172336897,Đồng Nai,Internet Banking,Thành công,
GD000578,KH0007,2024-02-26,11:23,Nạp tiền,163947702,Thanh Hóa,Mobile App,Thành công,
GD000222,KH0066,2024-01-18,13:49,Chuyển khoản,106363681,Thanh Hóa,Mobile App,Thành công,
GD000151,KH0115,2024-04-01,09:11,Mua ngoại tệ,37631411,Nghệ An,Internet Banking,Thành công,
GD000918,KH0195,2024-05-26,09:50,Thanh toán hóa đơn,31665939,Khánh Hòa,Internet Banking,Thành công,
GD000911,KH0153,2024-06-20,15:45,Thanh toán hóa đơn,79365082,Hải Phòng,Quầy giao dịch,Thành công,
GD000687,KH0037,2024-03-01,11:26,Thanh toán hóa đơn,1161441447,Đà Nẵng,POS,Thành công,
GD000643,KH0091,2024-04-11,12:39,Mua ngoại tệ,60400963,Khánh Hòa,Mobile App,Thành công,
GD000290,KH0027,2024-02-13,13:12,Mua ngoại tệ,62560467,Đồng Nai,POS,Thành công,
GD000134,KH0128,2024-01-02,14:53,Mua ngoại tệ,47617417,Thanh Hóa,Internet Banking,Thành công,
GD000286,KH0008,2024-01-24,12:37,Nạp tiền,195619748,Thanh Hóa,Internet Banking,Thành công,
GD000050,KH0077,2024-06-24,08:05,Thanh toán hóa đơn,15113238,TP. Hồ Chí Minh,ATM,Thành công,
GD000444,KH0049,2024-05-25,12:01,Nạp tiền,105866541,Thanh Hóa,ATM,Thành công,
GD000647,KH0044,2024-01-06,08:57,Nạp tiền,17169963,Bình Dương,POS,Đang xử lý,
GD000405,KH0009,2024-02-02,16:55,Thanh toán hóa đơn,31102248,Khánh Hòa,Mobile App,Thành công,
GD000752,KH0022,2024-01-11,11:50,Rút tiền,131680034,Hà Nội,POS,Thành công,
GD000974,KH0057,2024-04-08,16:50,Nạp tiền,193349062,Khánh Hòa,Quầy giao dịch,Đang xử lý,
GD000838,KH0084,2024-02-17,15:11,Nạp tiền,46182562,Đồng Nai,Mobile App,Thành công,
GD000539,KH0151,2024-03-12,12:31,Nạp tiền,141030595,Thanh Hóa,Quầy giao dịch,Thành công,
GD000715,KH0126,2024-02-14,10:02,Nạp tiền,184413447,,ATM,Thành công,
GD000999,KH0099,2024-04-02,15:09,Thanh toán hóa đơn,17253763,Đà Nẵng,POS,Thành công,
GD000053,KH0153,2024-04-11,12:50,Thanh toán hóa đơn,100827916,Đồng Nai,ATM,Thành công,Thanh toán tiền điện
GD000207,KH0157,2024-06-09,17:09,Thanh toán hóa đơn,88441699,Khánh Hòa,Mobile App,Thành công,
GD000366,KH0053,2024-04-12,13:00,Chuyển khoản,38275739,,Quầy giao dịch,Thành công,
GD000793,KH0081,2024-04-07,16:41,Nạp tiền,22877868,Nghệ An,POS,Thành công,Mua sắm online
GD000815,KH0015,2024-04-14,16:30,Rút tiền,112176471,TP. Hồ Chí Minh,Mobile App,Thành công,
GD000795,KH0104,2024-04-06,10:51,Nạp tiền,99254697,TP. Hồ Chí Minh,POS,Thành công,Thanh toán tiền điện
GD000755,KH0124,2024-04-21,16:46,Mua ngoại tệ,127081248,,Quầy giao dịch,Thành công,Trả nợ vay
GD000109,KH0078,2024-03-20,09:55,Rút tiền,118996599,Bình Dương,Internet Banking,Thành công,
GD000400,KH0048,2024-02-21,11:16,Thanh toán hóa đơn,29361929,Đà Nẵng,Internet Banking,Thành công,
GD000025,KH0177,10/06/2024,17:36,Rút tiền,45821483,Nghệ An,ATM,Đang xử lý,
GD000560,KH0027,2024-02-25,09:08,Mua ngoại tệ,88676701,Thanh Hóa,Quầy giao dịch,Thành công,
GD000940,KH0174,2024-01-12,04:34,Mua ngoại tệ,65273299,TP. Hồ Chí Minh,Internet Banking,Thành công,Mua sắm online
GD000519,KH0196,2024-01-10,14:38,Mua ngoại tệ,128569240,Đà Nẵng,Internet Banking,Thành công,
GD000580,KH0004,2024-02-11,14:43,Thanh toán hóa đơn,1904061811,Đồng Nai,ATM,Thành công,
GD000008,KH0086,04/02/2024,10:53,Thanh toán hóa đơn,48979876,Đà Nẵng,,Thành công,
GD000535,KH0155,2024-02-28,17:52,Rút tiền,109468972,Thanh Hóa,Quầy giao dịch,Thành công,Trả nợ vay
GD000213,KH0102,2024-03-18,10:27,Nạp tiền,138822983,Đà Nẵng,Internet Banking,Thành công,
GD000771,KH0011,2024-03-20,13:17,Chuyển khoản,157971722,TP. Hồ Chí Minh,ATM,Thành công,
GD000448,KH0058,2024-01-27,09:39,Nạp tiền,22814482,TP. Hồ Chí Minh,POS,Thành công,
GD000517,KH0075,2024-03-05,10:18,Chuyển khoản,139035074,Thanh Hóa,Internet Banking,Thành công,
GD000135,KH0156,2024-06-26,13:18,Thanh toán hóa đơn,161788925,Nghệ An,Quầy giao dịch,Thành công,
GD000243,KH0127,2024-04-15,15:46,Rút tiền,92680559,TP. Hồ Chí Minh,Internet Banking,Thành công,
GD000724,KH0088,2024-05-16,12:40,Nạp tiền,159617112,Nghệ An,Quầy giao dịch,Thành công,
GD000488,KH0020,2024-03-08,14:17,Rút tiền,32235792,Đà Nẵng,POS,Thành công,Lương tháng 3
GD000478,KH0054,2024-04-10,14:04,Thanh toán hóa đơn,184555463,Đồng Nai,ATM,Đang xử lý,Lương tháng 4
GD000716,KH0198,06/04/2024,13:55,Mua ngoại tệ,119414230,Hà Nội,POS,Thành công,Lương tháng 4
GD000283,KH0135,2024-05-16,09:26,Thanh toán hóa đơn,35277363,TP. Hồ Chí Minh,Quầy giao dịch,Thành công,
GD000851,KH0161,2024-03-09,17:02,Nạp tiền,179843834,Khánh Hòa,Mobile App,Thành công,
GD000342,KH0033,2024-05-04,16:55,Mua ngoại tệ,127115417,TP. Hồ Chí Minh,Quầy giao dịch,Thành công,
GD000797,KH0136,2024-01-02,10:35,Thanh toán hóa đơn,138472327,Hải Phòng,POS,Thành công,Trả nợ vay
GD000248,KH0071,2024-04-19,13:16,Rút tiền,16796984,Đồng Nai,Quầy giao dịch,Thành công,
GD000169,KH0059,2024-03-21,16:00,Nạp tiền,180894406,Bình Dương,ATM,Thành công,
GD000657,KH0147,2024-05-18,08:34,Chuyển khoản,50580024,Bình Dương,ATM,Thành công,
GD000341,KH0034,2024-05-01,16:25,Mua ngoại tệ,70834740,Thanh Hóa,ATM,Thành công,Lương tháng 5
GD000796,KH0062,2024-04-15,15:39,Nạp tiền,-4510913,Đà Nẵng,Internet Banking,Thành công,
GD000791,KH0179,2024-06-11,15:04,Thanh toán hóa đơn,198085870,Bình Dương,,Thành công,
GD000001,KH0076,2024-01-26,16:02,Nạp tiền,160372121,Đồng Nai,POS,Thành công,
GD000637,KH0063,2024-05-29,12:06,Thanh toán hóa đơn,100934040,Thanh Hóa,ATM,Thành công,Chuyển tiền cho người thân
GD000673,KH0161,2024-04-30,11:07,Rút tiền,10620544,,ATM,Thành công,
GD000672,KH0055,2024-03-19,13:37,Thanh toán hóa đơn,77826771,Cần Thơ,Mobile App,Thành công,
GD000546,KH0057,2024-01-29,12:26,Thanh toán hóa đơn,31139974,Đà Nẵng,Internet Banking,Thành công,
GD000593,KH0043,2024-05-25,13:01,Mua ngoại tệ,148241769,Nghệ An,Mobile App,Thành công,
GD000054,KH0098,2024-06-11,13:06,Chuyển khoản,1161999324,Khánh Hòa,Mobile App,Thành công,Chuyển tiền cho người thân
GD000945,KH0061,2024-05-02,17:54,Rút tiền,163434980,Đà Nẵng,Mobile App,Thành công,Chuyển tiền cho người thân
GD000866,KH0007,2024-02-06,14:07,Nạp tiền,149710391,Khánh Hòa,POS,Thành công,
GD000130,KH0013,2024-05-09,14:52,Rút tiền,153872892,Khánh Hòa,Quầy giao dịch,Thành công,
GD000441,KH0012,2024-05-16,10:56,Nạp tiền,13879787,Hải Phòng,,Thành công,Lương tháng 5
GD000139,KH0004,2024-03-05,15:53,Rút tiền,173897494,Bình Dương,POS,Thành công,
GD000092,KH0115,08/02/2024,11:41,Nạp tiền,128638886,TP. Hồ Chí Minh,ATM,Thành công,
GD000279,KH0040,2024-03-08,15:07,Nạp tiền,184691499,HẢI PHÒNG,ATM,Thành công,
GD000621,KH0080,2024-01-17,12:14,Chuyển khoản,126580129,TP. Hồ Chí Minh,Quầy giao dịch,Thất bại,
GD000032,KH0035,2024-05-09,09:21,Rút tiền,192947229,ĐÀ NẴNG,Quầy giao dịch,Thành công,
GD000309,KH0167,2024-02-03,13:28,Thanh toán hóa đơn,46617920,Thanh Hóa,Mobile App,Thành công,
GD000490,KH0016,24/02/2024,14:12,Thanh toán hóa đơn,158567336,Nghệ An,Quầy giao dịch,Thành công,Mua sắm online
GD000882,KH0128,2024-06-21,10:38,Thanh toán hóa đơn,124432001,Đồng Nai,ATM,Đang xử lý,
GD000836,KH0085,2024-06-24,09:10,Nạp tiền,92024439,Bình Dương,POS,Thành công,
GD000666,KH0019,2024-01-06,17:41,Thanh toán hóa đơn,120757694,Hải Phòng,Quầy giao dịch,Thành công,
GD000877,KH0172,2024-05-31,09:39,Thanh toán hóa đơn,70947487,Đà Nẵng,,Thành công,
GD000457,KH0086,2024-01-08,09:04,Rút tiền,83028799,Hải Phòng,Internet Banking,Thành công,
GD000072,KH0125,2024-03-24,09:46,Thanh toán hóa đơn,17050200,Nghệ An,Mobile App,Thành công,Trả nợ vay
GD000452,KH0005,2024-04-02,09:03,Nạp tiền,37456286,Cần Thơ,POS,Thành công,Thanh toán tiền điện
GD000084,KH0107,2024-03-22,13:07,Mua ngoại tệ,59960782,Nghệ An,Internet Banking,Thành công,Trả nợ vay
GD000017,KH0021,2024-03-05,12:08,Nạp tiền,172113753,Đà Nẵng,Mobile App,Thành công,
GD000061,KH0111,28/01/2024,16:47,Mua ngoại tệ,59382755,Khánh Hòa,POS,Thành công,
GD000088,KH0189,2024-03-24,09:12,Rút tiền,41767702,Hà Nội,ATM,Thành công,
GD000619,KH0007,2024-04-23,11:24,Chuyển khoản,55248990,Đồng Nai,Mobile App,Thành công,
GD000477,KH0198,2024-03-07,10:40,Chuyển khoản,27811388,Hà Nội,Internet Banking,Thành công,
GD000651,KH0052,2024-02-28,09:21,Thanh toán hóa đơn,5526287,,Quầy giao dịch,Thất bại,
GD000600,KH0104,2024-05-02,13:41,Rút tiền,140532319,Bình Dương,Mobile App,Thành công,
GD000887,KH0019,2024-02-24,11:22,Mua ngoại tệ,54964128,Đồng Nai,ATM,Thành công,
GD000328,KH0075,2024-01-10,17:46,Mua ngoại tệ,131020060,Hải Phòng,ATM,Thành công,
GD000340,KH0077,2024-03-13,17:43,Rút tiền,66523566,Hà Nội,Quầy giao dịch,Thành công,Trả nợ vay
GD000605,KH0200,2024-06-13,17:48,Thanh toán hóa đơn,109348560,Thanh Hóa,Quầy giao dịch,Thành công,
GD000926,KH0121,2024-01-30,17:50,Mua ngoại tệ,54323510,Cần Thơ,,Thành công,
GD000996,KH0157,2024-06-05,11:57,Chuyển khoản,56585025,TP. Hồ Chí Minh,Mobile App,Thành công,
GD000653,KH0181,2024-02-15,15:01,Mua ngoại tệ,32338242,Cần Thơ,Mobile App,Thành công,Lương tháng 2
GD000844,KH0110,2024-04-16,17:32,Thanh toán hóa đơn,118752558,Cần Thơ,ATM,Thành công,
GD000704,KH0120,2024-04-15,08:42,Chuyển khoản,190612799,Cần Thơ,,Thành công,
GD000136,KH0075,2024-06-24,10:32,Mua ngoại tệ,31028861,Bình Dương,ATM,Thành công,
GD000015,KH0007,2024-04-02,16:08,Mua ngoại tệ,106930254,Khánh Hòa,POS,Thành công,
GD000617,KH0058,2024-05-29,15:41,Rút tiền,95249375,Thanh Hóa,Mobile App,Thành công,Thanh toán tiền điện
GD000300,KH0120,2024-03-09,17:54,Thanh toán hóa đơn,16124360,Nghệ An,Mobile App,Thành công,
GD000786,KH0058,2024-06-07,11:23,Nạp tiền,184711349,Hà Nội,,Thành công,
GD000150,KH0169,2024-03-19,17:23,Nạp tiền,84127953,Hải Phòng,ATM,Thành công,
GD000782,KH0144,2024-01-05,10:14,Thanh toán hóa đơn,110742011,Nghệ An,POS,Thành công,Mua sắm online
GD000055,KH0091,2024-05-21,13:55,Thanh toán hóa đơn,1388650353,Đồng Nai,POS,Thành công,
GD000274,KH0166,2024-06-29,17:42,Rút tiền,118726800,Bình Dương,Internet Banking,Thành công,
GD000414,KH0045,2024-06-16,09:49,Thanh toán hóa đơn,73927742,Khánh Hòa,Internet Banking,Thành công,
GD000872,KH0115,2024-04-19,15:01,Rút tiền,-1769037,Hải Phòng,ATM,Thành công,Mua sắm online
GD000298,KH0055,2024-03-14,17:25,Rút tiền,192707962,Thanh Hóa,Internet Banking,Thành công,Mua sắm online
GD000376,KH0058,2024-04-17,16:19,Nạp tiền,8696034,Đà Nẵng,Quầy giao dịch,Thành công,
GD000205,KH0098,2024-05-10,13:31,Mua ngoại tệ,134442430,Khánh Hòa,Internet Banking,Thành công,Mua sắm online
GD000106,KH0021,2024-06-23,10:53,Mua ngoại tệ,18038384,Hà Nội,Quầy giao dịch,Thất bại,
GD000693,KH0117,2024-03-13,08:07,Chuyển khoản,99054901,Đà Nẵng,,Thành công,
GD000323,KH0132,2024-01-28,15:42,Mua ngoại tệ,157237182,  Hà Nội  ,ATM,Thành công,
GD000802,KH0182,2024-02-01,10:51,Chuyển khoản,122119389,Nghệ An,Internet Banking,Thành công,
GD000487,KH0008,27/02/2024,09:20,Thanh toán hóa đơn,194426237,Bình Dương,Internet Banking,Thành công,Mua sắm online
GD000748,KH0131,2024-03-17,14:03,Mua ngoại tệ,28637517,Đà Nẵng,Mobile App,Thành công,
GD000954,KH0023,2024-03-16,14:42,Rút tiền,175753360,Nghệ An,Mobile App,Thành công,Trả nợ vay
GD000125,KH0020,2024-01-26,15:18,Nạp tiền,46946159,TP. Hồ Chí Minh,Quầy giao dịch,Thành công,Thanh toán tiền điện
GD000237,KH0099,2024-04-02,10:08,Chuyển khoản,-4182746,Đồng Nai,Mobile App,Thành công,
GD000504,KH0092,2024-04-29,14:29,Chuyển khoản,-3630921,Hà Nội,Quầy giao dịch,Thành công,
GD000058,KH0163,2024-05-05,13:24,Nạp tiền,30621529,Thanh Hóa,Mobile App,Thành công,
GD000537,KH0136,2024-04-09,14:44,Mua ngoại tệ,90461287,Bình Dương,Internet Banking,Thành công,
GD000434,KH0163,2024-02-08,08:17,Rút tiền,165531696,Hải Phòng,ATM,Thành công,
GD000259,KH0161,2024-06-17,09:50,Rút tiền,127399226,Khánh Hòa,Internet Banking,Thành công,
GD000618,KH0139,2024-03-30,13:59,Rút tiền,43882533,,Mobile App,Thành công,Trả nợ vay
GD000312,KH0049,2024-04-17,08:18,Nạp tiền,66707345,Bình Dương,,Thành công,
GD000411,KH0141,2024-04-10,13:48,Thanh toán hóa đơn,76027937,Cần Thơ,POS,Thành công,
GD000794,KH0129,2024-06-08,15:02,Mua ngoại tệ,-509809,TP. Hồ Chí Minh,ATM,Thành công,
GD000966,KH0059,2024-05-26,11:48,Thanh toán hóa đơn,23362168,Khánh Hòa,Mobile App,Thành công,
GD000039,KH0194,2024-01-06,16:27,Mua ngoại tệ,123698156,Bình Dương,,Thành công,
GD000528,KH0168,04/06/2024,13:53,Nạp tiền,4684991,KHÁNH HÒA,Quầy giao dịch,Thành công,
GD000929,KH0036,18/05/2024,15:52,Thanh toán hóa đơn,105672250,Bình Dương,Internet Banking,Thành công,
GD000853,KH0190,2024-04-15,14:51,Nạp tiền,171944661,Cần Thơ,Mobile App,Thành công,
GD000841,KH0054,2024-04-10,15:06,Nạp tiền,58192010,Đà Nẵng,ATM,Thành công,
GD000436,KH0156,2024-01-26,15:23,Nạp tiền,3717252,Nghệ An,Quầy giao dịch,Thành công,
GD000842,KH0082,12/01/2024,10:44,Chuyển khoản,23440669,TP. Hồ Chí Minh,ATM,Thành công,
GD000485,KH0152,2024-04-08,08:41,Mua ngoại tệ,76383868,,POS,Thành công,Trả nợ vay
GD000951,KH0071,2024-01-18,10:36,Chuyển khoản,31863746,Đồng Nai,Quầy giao dịch,Thành công,
GD000287,KH0044,17/05/2024,11:58,Mua ngoại tệ,187453625,Thanh Hóa,Internet Banking,Thành công,
GD000649,KH0002,2024-06-05,17:07,Chuyển khoản,196109981,Đà Nẵng,POS,Thành công,
GD000255,KH0152,2024-01-17,15:38,Mua ngoại tệ,114460269,Bình Dương,ATM,Thành công,
GD000349,KH0153,2024-05-30,16:24,Chuyển khoản,148527311,,Mobile App,Thành công,Lương tháng 5
GD000707,KH0036,2024-03-26,15:48,Mua ngoại tệ,11527154,Bình Dương,Mobile App,Thành công,
GD000765,KH0017,2024-02-11,16:12,Thanh toán hóa đơn,94373545,TP. Hồ Chí Minh,ATM,Thành công,Trả nợ vay
GD000235,KH0082,2024-03-17,12:58,Thanh toán hóa đơn,24017905,THANH HÓA,ATM,Thành công,
GD000305,KH0122,2024-06-23,10:23,Thanh toán hóa đơn,5707064,Thanh Hóa,Internet Banking,Thành công,
